name,sciname,altname,is_preferred,harvest,group,fresh_moisture,max_yield,FAO_name,agrovoc
abacá,Musa textilis,Manila hemp,yes,leaves,fibre_crops,,,abaca,c_4
abyssinian cabbage,Brassica carinata,,yes,leaves,vegetables,,,brassica carinata,c_33311
adzuki bean,Vigna angularis,,yes,seed,pulses,,,adzuki beans,c_8632
african yam bean,Sphenostylis stenocarpa,,yes,seed,pulses,,,,
agave,Agave spp.,,yes,leaves,fibre_crops,,,agave,c_176
akee,Blighia sapida,,yes,fruit,fruits,,,akees,c_8697
allspice,Pimenta dioica,,yes,,spices,,,allspice,c_19193
almond,Prunus dulcis,,yes,seed,nuts,,,almonds,c_8734
amaranth,Amaranthus sp,,yes,seed; leaves,pseudocereals; vegetables,,,,
anise,Pimpinella anisum,,yes,seed,spices,,,anise,c_8817
apple,Malus domestica,,yes,fruit,fruits,,,apples,c_541
apricot,Prunus armeniaca,,yes,fruit,fruits,,,apricots,c_545
arabica coffee,Coffea arabica,,yes,seed,stimulants,,,arabica coffee,c_566
areca nut,Areca catechu,,yes,seed,nuts,,,areca nuts,c_ac0d27db
argan,Argania spinosa,,yes,seed,oil_crops,,,argan,c_32068
asparagus,asparagus officinalis,,yes,stems,vegetables,,,asparagus,c_669
asparagus bean,Vigna unguiculata subsp. sesquipedalis,yardlong bean; pea bean; long-podded cowpea; Chinese long bean; snake bean,yes,seed,pulses,,,asparagus beans,c_670
avocado,Persea americana,,yes,fruit,fruits,,,avocados,c_9022
